component 1,component 2,component 3,class
9.003575,11.846749,9.408274,GALAXY
1.122812,-3.0903776,4.694043,GALAXY
2.7907982,4.965228,6.697768,GALAXY
8.417041,9.4985485,0.6844908,GALAXY
3.7693648,4.2210393,2.814836,QSO
3.5473628,-1.4866005,7.9149776,GALAXY
4.442899,12.323187,5.7513127,QSO
6.0171304,1.810738,-0.9212006,GALAXY
3.0643404,6.9065857,2.6493042,QSO
2.619381,3.0172625,3.4052534,STAR
11.859862,4.4940114,1.6611065,GALAXY
1.6463839,11.814827,5.7451396,STAR
8.713758,6.6543255,1.8723896,GALAXY
7.9765935,1.6892873,7.602021,QSO
4.7875915,2.4784431,0.77020603,GALAXY
4.5315166,3.295271,12.103128,STAR
1.4379216,8.854709,8.644321,STAR
3.8015609,11.365726,7.582074,QSO
3.7280393,-1.6524963,4.244491,GALAXY
4.1555085,12.176644,5.2223167,STAR
11.4077,4.6072497,5.70288,GALAXY
3.2782886,12.484719,4.497545,GALAXY
4.1453705,13.182446,5.1869345,QSO
4.940627,0.5950573,9.353439,GALAXY
2.5318081,5.086735,5.4693604,GALAXY
2.8461027,11.744722,8.59796,STAR
5.638028,8.682061,3.9593768,GALAXY
9.327626,4.511643,4.630085,GALAXY
3.8805082,-2.2200637,6.342904,GALAXY
7.030116,2.499708,7.448207,STAR
4.0632873,5.3617363,5.620267,GALAXY
6.274315,2.3303967,6.6808543,GALAXY
6.0708127,6.2756886,4.98442,GALAXY
5.9553323,9.306265,0.7455082,GALAXY
5.9403534,8.908189,3.4397843,GALAXY
8.657161,5.8447857,3.511505,STAR
5.806206,3.3679574,3.73632,GALAXY
8.461904,0.5892939,5.8991694,QSO
7.5462847,6.6209397,4.0252204,GALAXY
2.1039696,-3.114677,2.0153437,GALAXY
2.2719731,8.820384,10.133663,STAR
7.0187173,1.9011054,7.2146907,QSO
2.2610042,3.3571415,-2.4056137,GALAXY
9.624887,4.8978267,5.6951866,GALAXY
1.5917375,1.8979187,-1.1020503,GALAXY
3.6403246,9.6193495,9.482075,QSO
