component 1,component 2,class
0.6775388,3.115021,GALAXY
-2.5529304,7.3938217,GALAXY
12.392559,-1.7981645,STAR
3.648743,4.4817433,GALAXY
8.5398855,8.036882,QSO
9.44748,8.896519,STAR
12.710189,2.9511347,GALAXY
5.2847576,4.028469,QSO
-2.8135886,-3.5932207,STAR
0.03068427,4.237558,GALAXY
6.6232886,-0.072152026,STAR
7.6171765,14.325961,QSO
7.73037,4.632736,QSO
-0.7583537,-1.1799647,GALAXY
8.11394,0.84293395,STAR
12.932935,4.088652,GALAXY
1.0643728,13.810733,STAR
0.47119227,12.743597,GALAXY
-1.4634095,3.8942676,GALAXY
0.29060102,-2.4409647,STAR
12.336716,9.256039,GALAXY
1.4890887,-3.3447855,GALAXY
12.899638,10.003579,QSO
2.6613472,3.8900673,GALAXY
9.9472275,9.265867,QSO
10.487519,9.145718,GALAXY
4.4767375,0.6451449,GALAXY
10.476025,-4.2179375,GALAXY
11.613488,3.8145816,QSO
-0.7578381,2.6730082,GALAXY
0.59991395,15.276468,GALAXY
-3.3800316,2.3611858,GALAXY
13.127319,5.8060365,GALAXY
14.08478,1.5451163,GALAXY
11.637196,4.428664,GALAXY
7.5104127,-2.849007,GALAXY
1.177085,13.414212,GALAXY
6.0610485,-2.9912825,GALAXY
-3.6995232,9.526201,GALAXY
1.180311,4.6277328,GALAXY
9.30185,-1.4294907,STAR
3.5850475,7.1145797,GALAXY
4.013752,-5.211024,GALAXY
12.308665,12.766338,STAR
-1.8121539,2.0927737,GALAXY
1.5943043,8.611089,GALAXY
2.6673627,4.716665,GALAXY
7.624615,-2.4391112,GALAXY
1.9775438,-2.491729,GALAXY
7.1092744,-1.4547867,GALAXY
4.1657133,2.7548733,GALAXY
14.12868,2.4520402,GALAXY
12.241846,12.721885,STAR
11.415617,3.3167124,GALAXY
11.45821,1.7685778,QSO
-6.095243,5.963486,GALAXY
8.482978,5.941718,QSO
14.273796,12.220083,STAR
14.618813,0.46839774,GALAXY
2.911625,14.077684,STAR
-2.208585,3.0010731,QSO
15.617918,12.003103,STAR
2.033675,6.1989,GALAXY
7.5157356,4.0987024,STAR
-0.8874583,4.535416,GALAXY
6.996765,-2.277018,GALAXY
6.6440277,15.127179,STAR
7.0632977,2.057595,STAR
-0.95330364,4.367959,GALAXY
0.13066913,-2.8348763,GALAXY
13.622469,0.54902774,STAR
5.539379,4.741588,GALAXY
-2.1983259,-3.5909555,STAR
-0.31525034,1.9216856,GALAXY
-0.5582059,11.687876,GALAXY
-1.1061782,10.763233,STAR
-4.029459,7.5096087,GALAXY
11.15779,9.562381,STAR
14.456778,-0.68288976,STAR
2.6527605,9.907092,GALAXY
11.222252,2.0410774,STAR
2.6778276,1.177023,GALAXY
-2.5226357,-3.3432343,STAR
2.2403874,15.896536,GALAXY
6.253897,5.504293,GALAXY
2.8313022,2.7943206,GALAXY
2.0103455,13.537512,GALAXY
14.049566,12.60657,STAR
13.400216,3.970695,QSO
1.3877016,2.5206404,STAR
3.201713,1.8048314,GALAXY
4.744853,5.7860904,GALAXY
-3.9456983,1.1107913,GALAXY
7.699089,-2.8062418,GALAXY
-1.2817656,4.4973464,STAR
-3.201703,9.924152,GALAXY
-6.9167824,6.1586375,GALAXY
5.8725185,7.910003,GALAXY
8.662697,-2.111033,GALAXY
7.6916313,-4.19175,GALAXY
12.2667265,11.512556,QSO
9.396131,-4.1439214,GALAXY
0.6198713,0.1728585,GALAXY
15.21228,2.4786522,GALAXY
-0.71968144,11.783816,STAR
8.137443,-0.677761,STAR
-4.0316143,4.849107,GALAXY
6.8314204,-3.269152,GALAXY
4.8638144,-0.46031767,GALAXY
1.7886652,9.47027,GALAXY
9.689417,3.1301632,QSO
9.6381445,0.47340786,STAR
-6.0090165,2.0566413,STAR
1.1471359,7.129555,GALAXY
1.926128,4.455895,GALAXY
11.246232,12.5653305,QSO
4.5782943,6.6090374,GALAXY
1.6965721,12.119328,GALAXY
-3.642014,4.0648937,GALAXY
11.700864,8.717338,QSO
-4.8624773,3.3472328,GALAXY
9.298075,15.176659,STAR
-1.4441534,7.1536813,GALAXY
12.621079,4.0509977,QSO
9.809891,7.5055733,STAR
4.1193147,-0.33602574,GALAXY
11.525617,9.35192,QSO
5.078653,7.0852017,GALAXY
2.3077276,12.115035,STAR
9.161454,1.4502717,STAR
1.4588567,1.2880822,GALAXY
1.3933065,4.1252174,GALAXY
1.1381893,3.43375,GALAXY
12.703314,12.618095,GALAXY
1.0029919,-3.234938,QSO
12.176743,12.052159,QSO
1.0342666,10.974438,GALAXY
1.1507151,-2.7353942,QSO
16.206116,11.748713,STAR
10.145974,9.518849,QSO
-4.0693593,10.226281,GALAXY
2.7186458,-4.3924594,GALAXY
10.560364,10.23318,QSO
14.36853,11.812881,STAR
8.88806,3.095994,STAR
4.2709374,0.6187721,GALAXY
2.468509,1.7757211,GALAXY
2.5922995,1.3097416,GALAXY
2.4800987,13.094563,GALAXY
3.9936829,2.0953317,GALAXY
9.369557,13.07646,QSO
-3.5186415,-3.2243533,STAR
4.784485,3.3167331,GALAXY
4.7963758,4.8319025,STAR
10.7486725,0.02543171,STAR
1.0894192,7.9907413,GALAXY
8.64414,-5.4046993,GALAXY
-1.2245034,-4.2468996,GALAXY
10.922015,3.2495885,QSO
-0.075576566,12.421374,GALAXY
0.63744724,-4.419175,QSO
10.077997,-4.57461,GALAXY
12.90494,10.918054,STAR
11.662147,13.524838,QSO
10.64951,0.4116733,STAR
13.741764,0.33706096,STAR
10.308143,9.108871,QSO
7.70236,6.5446534,GALAXY
4.9798994,-1.1938978,GALAXY
10.629805,-0.061760444,STAR
5.766583,2.773783,GALAXY
9.952392,9.236731,QSO
9.166326,4.561549,QSO
8.93115,5.4213676,QSO
1.7085471,-0.114871904,GALAXY
0.5449324,4.8040032,STAR
13.478587,9.487465,QSO
12.944275,2.9022217,GALAXY
-3.044054,1.4631535,GALAXY
-4.2298875,4.495059,GALAXY
9.5294695,-5.3660917,GALAXY
3.4349957,5.0881176,GALAXY
6.3044434,4.648476,GALAXY
13.218716,10.321758,QSO
9.370319,-6.1786323,GALAXY
-1.5708872,-3.7716036,GALAXY
-3.4242034,1.5370631,GALAXY
-5.179563,2.5938091,GALAXY
-3.3163378,11.475437,GALAXY
13.754572,8.868831,QSO
0.09052736,3.2824209,GALAXY
13.071362,13.082298,STAR
